Country,Indicator,Value
Algeria,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),6
Algeria,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),66
Algeria,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),33
Algeria,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),66
Algeria,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),40
Algeria,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),34
Algeria,Gross Domestic Product (GDP) per Capita in PPP Int$,"15,482"
Algeria,Government schemes and compulsory contributory health care financing schemes,"7,114"
Algeria,Voluntary health care payment schemes,163
Algeria,Household out-of-pocket payment,"3,527"
Angola,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),3
Angola,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),42
Angola,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),37
Angola,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),43
Angola,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),43
Angola,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),57
Angola,Gross Domestic Product (GDP) per Capita in PPP Int$,"6,462"
Angola,Government schemes and compulsory contributory health care financing schemes,"1,161"
Angola,Voluntary health care payment schemes,545
Angola,Household out-of-pocket payment,993
Benin,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),2
Benin,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),20
Benin,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),45
Benin,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),41
Benin,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),39
Benin,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),59
Benin,Gross Domestic Product (GDP) per Capita in PPP Int$,"3,340"
Benin,Government schemes and compulsory contributory health care financing schemes,146
Benin,Voluntary health care payment schemes,51
Benin,Household out-of-pocket payment,158
Botswana,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),6
Botswana,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),77
Botswana,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),3
Botswana,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),81
