Countries,Indicators,,2016
Algeria,Gross Domestic Product (GDP) per Capita in US$,,3946
Angola,Gross Domestic Product (GDP) per Capita in US$,,3506
Benin,Gross Domestic Product (GDP) per Capita in US$,,1087
Botswana,Gross Domestic Product (GDP) per Capita in US$,,7244
Burkina Faso,Gross Domestic Product (GDP) per Capita in US$,,583
Burundi,Gross Domestic Product (GDP) per Capita in US$,,299
Cabo Verde Republic of,Gross Domestic Product (GDP) per Capita in US$,,3131
Cameroon,Gross Domestic Product (GDP) per Capita in US$,,1363
Central African Republic,Gross Domestic Product (GDP) per Capita in US$,,402
Chad,Gross Domestic Product (GDP) per Capita in US$,,700
Comoros,Gross Domestic Product (GDP) per Capita in US$,,1292
Congo,Gross Domestic Product (GDP) per Capita in US$,,1563
Côte d'Ivoire,Gross Domestic Product (GDP) per Capita in US$,,1482
Democratic Republic of the Congo,Gross Domestic Product (GDP) per Capita in US$,,471
Equatorial Guinea,Gross Domestic Product (GDP) per Capita in US$,,9244
Eritrea,Gross Domestic Product (GDP) per Capita in US$,,644
Eswatini,Gross Domestic Product (GDP) per Capita in US$,,3448
Ethiopia,Gross Domestic Product (GDP) per Capita in US$,,685
Gabon,Gross Domestic Product (GDP) per Capita in US$,,6980
Gambia,Gross Domestic Product (GDP) per Capita in US$,,683
Ghana,Gross Domestic Product (GDP) per Capita in US$,,1931
Guinea,Gross Domestic Product (GDP) per Capita in US$,,733
Guinea-Bissau,Gross Domestic Product (GDP) per Capita in US$,,661
Kenya,Gross Domestic Product (GDP) per Capita in US$,,1411
Lesotho,Gross Domestic Product (GDP) per Capita in US$,,1116
Liberia,Gross Domestic Product (GDP) per Capita in US$,,714
Madagascar,Gross Domestic Product (GDP) per Capita in US$,,407
Malawi,Gross Domestic Product (GDP) per Capita in US$,,319
Mali,Gross Domestic Product (GDP) per Capita in US$,,780
Mauritania,Gross Domestic Product (GDP) per Capita in US$,,1123
Mauritius,Gross Domestic Product (GDP) per Capita in US$,,9694
Mozambique,Gross Domestic Product (GDP) per Capita in US$,,392
Namibia,Gross Domestic Product (GDP) per Capita in US$,,4786
Niger,Gross Domestic Product (GDP) per Capita in US$,,366
Nigeria,Gross Domestic Product (GDP) per Capita in US$,,2176
Rwanda,Gross Domestic Product (GDP) per Capita in US$,,726
Sao Tome and Principe,Gross Domestic Product (GDP) per Capita in US$,,1710
Senegal,Gross Domestic Product (GDP) per Capita in US$,,1269
Seychelles,Gross Domestic Product (GDP) per Capita in US$,,14916
Sierra Leone,Gross Domestic Product (GDP) per Capita in US$,,527
South Africa,Gross Domestic Product (GDP) per Capita in US$,,5272
Togo,Gross Domestic Product (GDP) per Capita in US$,,595
Uganda,Gross Domestic Product (GDP) per Capita in US$,,645
United Republic of Tanzania,Gross Domestic Product (GDP) per Capita in US$,,938
Zambia,Gross Domestic Product (GDP) per Capita in US$,,1281
Zimbabwe,Gross Domestic Product (GDP) per Capita in US$,,1483
Antigua and Barbuda,Gross Domestic Product (GDP) per Capita in US$,,15198
Argentina,Gross Domestic Product (GDP) per Capita in US$,,12814
Bahamas,Gross Domestic Product (GDP) per Capita in US$,,31588
Barbados,Gross Domestic Product (GDP) per Capita in US$,,16900
Belize,Gross Domestic Product (GDP) per Capita in US$,,4904
Bolivia Plurinational States of ,Gross Domestic Product (GDP) per Capita in US$,,3077
Brazil,Gross Domestic Product (GDP) per Capita in US$,,8704
Canada,Gross Domestic Product (GDP) per Capita in US$,,41998
Chile,Gross Domestic Product (GDP) per Capita in US$,,13754
Colombia,Gross Domestic Product (GDP) per Capita in US$,,5871
Costa Rica,Gross Domestic Product (GDP) per Capita in US$,,11666
Cuba,Gross Domestic Product (GDP) per Capita in US$,,8061
Dominica,Gross Domestic Product (GDP) per Capita in US$,,8072
Dominican Republic,Gross Domestic Product (GDP) per Capita in US$,,7281
Ecuador,Gross Domestic Product (GDP) per Capita in US$,,6060
El Salvador,Gross Domestic Product (GDP) per Capita in US$,,3800
Grenada,Gross Domestic Product (GDP) per Capita in US$,,9627
Guatemala,Gross Domestic Product (GDP) per Capita in US$,,4141
Guyana,Gross Domestic Product (GDP) per Capita in US$,,4543
Haiti,Gross Domestic Product (GDP) per Capita in US$,,701
Honduras,Gross Domestic Product (GDP) per Capita in US$,,2343
Jamaica,Gross Domestic Product (GDP) per Capita in US$,,4844
Mexico,Gross Domestic Product (GDP) per Capita in US$,,8740
Nicaragua,Gross Domestic Product (GDP) per Capita in US$,,2108
Panama,Gross Domestic Product (GDP) per Capita in US$,,14356
Paraguay,Gross Domestic Product (GDP) per Capita in US$,,5319
Peru,Gross Domestic Product (GDP) per Capita in US$,,6287
Saint Kitts and Nevis,Gross Domestic Product (GDP) per Capita in US$,,17376
Saint Lucia,Gross Domestic Product (GDP) per Capita in US$,,9451
Saint Vincent and the Grenadines,Gross Domestic Product (GDP) per Capita in US$,,7075
Suriname,Gross Domestic Product (GDP) per Capita in US$,,5605
Trinidad and Tobago,Gross Domestic Product (GDP) per Capita in US$,,15786
United States,Gross Domestic Product (GDP) per Capita in US$,,57938
Uruguay,Gross Domestic Product (GDP) per Capita in US$,,15387
Venezuela (Bolivarian Republic of),Gross Domestic Product (GDP) per Capita in US$,,9671
Afghanistan,Gross Domestic Product (GDP) per Capita in US$,,549
Bahrain,Gross Domestic Product (GDP) per Capita in US$,,22619
Djibouti,Gross Domestic Product (GDP) per Capita in US$,,2818
Egypt,Gross Domestic Product (GDP) per Capita in US$,,2861
Iran,Gross Domestic Product (GDP) per Capita in US$,,5173
Iraq,Gross Domestic Product (GDP) per Capita in US$,,4777
Jordan,Gross Domestic Product (GDP) per Capita in US$,,4103
Kuwait,Gross Domestic Product (GDP) per Capita in US$,,27650
Lebanon,Gross Domestic Product (GDP) per Capita in US$,,7631
